timestamp,total_ms,conv_ms,dc_ms,fc_ms,pool_ms,add_ms,mul_ms
2026-05-26 14:31:55,352,324,26,0,0,0,0
2026-05-26 14:31:56,354,325,27,0,0,0,0
2026-05-26 14:31:56,350,322,27,0,0,0,0
2026-05-26 14:31:56,352,324,26,0,0,0,0
2026-05-26 14:31:57,352,324,27,0,0,0,0
2026-05-26 14:31:57,352,324,26,0,0,0,0
2026-05-26 14:31:57,352,324,27,0,0,0,0
2026-05-26 14:31:58,350,323,26,0,0,0,0
2026-05-26 14:31:58,352,323,28,0,0,0,0
2026-05-26 14:31:59,352,324,26,0,0,0,0
2026-05-26 14:31:59,353,324,27,0,0,0,0
2026-05-26 14:31:59,351,323,27,0,0,0,0
2026-05-26 14:32:00,352,324,27,0,0,0,0
2026-05-26 14:32:00,350,322,26,0,0,0,0
2026-05-26 14:32:00,352,324,26,0,0,0,0
2026-05-26 14:32:01,350,322,26,0,0,0,0
2026-05-26 14:32:01,352,324,27,0,0,0,0
2026-05-26 14:32:01,351,324,26,0,0,0,0
2026-05-26 14:32:02,352,324,27,0,0,0,0
2026-05-26 14:32:02,352,325,26,0,0,0,0
2026-05-26 14:32:03,352,324,26,0,0,0,0
2026-05-26 14:32:03,352,323,28,0,0,0,0
2026-05-26 14:32:03,352,324,26,0,0,0,0
2026-05-26 14:32:04,352,324,26,0,0,0,0
2026-05-26 14:32:04,350,322,26,0,0,0,0
2026-05-26 14:32:04,353,325,26,0,0,0,0
2026-05-26 14:32:05,351,323,26,0,0,0,0
2026-05-26 14:32:05,352,324,27,0,0,0,0
2026-05-26 14:32:05,350,322,27,0,0,0,0
2026-05-26 14:32:06,353,324,27,0,0,0,0
2026-05-26 14:32:06,350,322,26,0,0,0,0
2026-05-26 14:32:07,353,325,27,0,0,0,0
2026-05-26 14:32:07,352,324,27,0,0,0,0
2026-05-26 14:32:07,351,323,27,0,0,0,0
2026-05-26 14:32:08,352,324,26,0,0,0,0
2026-05-26 14:32:08,350,323,26,0,0,0,0
2026-05-26 14:32:08,351,324,26,0,0,0,0
2026-05-26 14:32:09,351,322,27,0,0,0,0
2026-05-26 14:32:09,350,322,26,0,0,0,0
2026-05-26 14:32:09,351,322,28,0,0,0,0
2026-05-26 14:32:10,351,323,27,0,0,0,0
2026-05-26 14:32:10,351,323,27,0,0,0,0
2026-05-26 14:32:10,351,323,26,0,0,0,0
2026-05-26 14:32:11,351,323,27,0,0,0,0
2026-05-26 14:32:11,349,322,27,0,0,0,0
2026-05-26 14:32:12,351,323,27,0,0,0,0
2026-05-26 14:32:12,350,323,27,0,0,0,0
2026-05-26 14:32:12,351,323,27,0,0,0,0
2026-05-26 14:32:13,351,323,27,0,0,0,0
2026-05-26 14:32:13,351,323,27,0,0,0,0
2026-05-26 14:32:13,351,324,26,0,0,0,0
2026-05-26 14:32:14,351,322,27,0,0,0,0
2026-05-26 14:32:14,351,323,27,0,0,0,0
2026-05-26 14:32:14,353,324,27,0,0,0,0
2026-05-26 14:32:15,351,324,26,0,0,0,0
2026-05-26 14:32:15,353,326,26,0,0,0,0
2026-05-26 14:32:16,351,323,26,0,0,0,0
2026-05-26 14:32:16,352,324,27,0,0,0,0
2026-05-26 14:32:16,351,323,27,0,0,0,0
2026-05-26 14:32:17,352,324,27,0,0,0,0
2026-05-26 14:32:17,351,323,27,0,0,0,0
2026-05-26 14:32:17,351,324,26,0,0,0,0
2026-05-26 14:32:18,352,324,27,0,0,0,0
2026-05-26 14:32:18,351,323,27,0,0,0,0
2026-05-26 14:32:18,352,323,27,0,0,0,0
2026-05-26 14:32:19,352,324,27,0,0,0,0
2026-05-26 14:32:19,350,323,26,0,0,0,0
2026-05-26 14:32:20,352,324,26,0,0,0,0
2026-05-26 14:32:20,350,322,26,0,0,0,0
2026-05-26 14:32:20,353,325,27,0,0,0,0
2026-05-26 14:32:21,352,324,27,0,0,0,0
2026-05-26 14:32:21,351,322,27,0,0,0,0
2026-05-26 14:32:21,351,323,26,0,0,0,0
2026-05-26 14:32:22,351,322,27,0,0,0,0
2026-05-26 14:32:22,351,324,26,0,0,0,0
2026-05-26 14:32:22,352,324,27,0,0,0,0
2026-05-26 14:32:23,352,324,26,0,0,0,0
2026-05-26 14:32:23,351,323,27,0,0,0,0
2026-05-26 14:32:23,352,323,28,0,0,0,0
2026-05-26 14:32:24,350,323,26,0,0,0,0
2026-05-26 14:32:24,352,324,27,0,0,0,0
2026-05-26 14:32:25,353,325,26,0,0,0,0
2026-05-26 14:32:25,350,322,27,0,0,0,0
2026-05-26 14:32:25,350,323,27,0,0,0,0
2026-05-26 14:32:26,350,322,27,0,0,0,0
2026-05-26 14:32:26,350,323,26,0,0,0,0
2026-05-26 14:32:26,352,324,26,0,0,0,0
2026-05-26 14:32:27,352,323,27,0,0,0,0
2026-05-26 14:32:27,350,322,27,0,0,0,0
2026-05-26 14:32:27,352,324,26,0,0,0,0
2026-05-26 14:32:28,351,322,27,0,0,0,0
2026-05-26 14:32:28,352,324,26,0,0,0,0
2026-05-26 14:32:29,351,322,27,0,0,0,0
2026-05-26 14:32:29,352,324,27,0,0,0,0
2026-05-26 14:32:29,351,323,26,0,0,0,0
2026-05-26 14:32:30,351,323,26,0,0,0,0
2026-05-26 14:32:30,350,322,26,0,0,0,0
2026-05-26 14:32:30,351,324,26,0,0,0,0
2026-05-26 14:32:31,351,323,27,0,0,0,0
2026-05-26 14:32:31,350,323,26,0,0,0,0
2026-05-26 14:32:31,352,324,27,0,0,0,0
2026-05-26 14:32:32,350,323,26,0,0,0,0
2026-05-26 14:32:32,350,323,26,0,0,0,0
2026-05-26 14:32:33,351,323,27,0,0,0,0
2026-05-26 14:32:33,352,324,27,0,0,0,0
2026-05-26 14:32:33,350,323,26,0,0,0,0
2026-05-26 14:32:34,351,324,26,0,0,0,0
2026-05-26 14:32:34,350,322,26,0,0,0,0
2026-05-26 14:32:34,352,324,26,0,0,0,0
2026-05-26 14:32:35,352,324,26,0,0,0,0
2026-05-26 14:32:35,352,325,26,0,0,0,0
2026-05-26 14:32:35,350,323,26,0,0,0,0
2026-05-26 14:32:36,351,324,26,0,0,0,0
2026-05-26 14:32:36,351,323,26,0,0,0,0
2026-05-26 14:32:37,352,324,27,0,0,0,0
2026-05-26 14:32:37,350,322,27,0,0,0,0
2026-05-26 14:32:37,352,324,26,0,0,0,0
2026-05-26 14:32:38,353,324,27,0,0,0,0
2026-05-26 14:32:38,352,324,27,0,0,0,0
2026-05-26 14:32:38,351,323,27,0,0,0,0
2026-05-26 14:32:39,349,322,26,0,0,0,0
2026-05-26 14:32:39,352,324,27,0,0,0,0
2026-05-26 14:32:39,351,323,27,0,0,0,0
2026-05-26 14:32:40,352,323,27,0,0,0,0
2026-05-26 14:32:40,351,323,27,0,0,0,0
2026-05-26 14:32:40,352,323,27,0,0,0,0
2026-05-26 14:32:41,350,322,26,0,0,0,0
2026-05-26 14:32:41,352,324,27,0,0,0,0
2026-05-26 14:32:42,350,322,27,0,0,0,0
2026-05-26 14:32:42,350,323,26,0,0,0,0
2026-05-26 14:32:42,353,324,28,0,0,0,0
2026-05-26 14:32:43,350,323,26,0,0,0,0
2026-05-26 14:32:43,352,324,27,0,0,0,0
2026-05-26 14:32:43,351,323,26,0,0,0,0
2026-05-26 14:32:44,352,324,27,0,0,0,0
2026-05-26 14:32:44,350,323,26,0,0,0,0
2026-05-26 14:32:44,353,324,27,0,0,0,0
2026-05-26 14:32:45,350,322,26,0,0,0,0
2026-05-26 14:32:45,353,325,27,0,0,0,0
2026-05-26 14:32:46,350,322,27,0,0,0,0
2026-05-26 14:32:46,352,324,26,0,0,0,0
2026-05-26 14:32:46,352,324,27,0,0,0,0
2026-05-26 14:32:47,351,323,26,0,0,0,0
2026-05-26 14:32:47,351,323,27,0,0,0,0
2026-05-26 14:32:47,352,324,26,0,0,0,0
2026-05-26 14:32:48,351,323,27,0,0,0,0
2026-05-26 14:32:48,350,323,26,0,0,0,0
2026-05-26 14:32:48,352,324,27,0,0,0,0
2026-05-26 14:32:49,350,323,26,0,0,0,0
2026-05-26 14:32:49,351,324,27,0,0,0,0
2026-05-26 14:32:50,350,322,26,0,0,0,0
2026-05-26 14:32:50,352,324,27,0,0,0,0
2026-05-26 14:32:50,350,322,26,0,0,0,0
2026-05-26 14:32:51,353,325,27,0,0,0,0
2026-05-26 14:32:51,350,322,26,0,0,0,0
